"","logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol","significant","direction"
"11728232_a_at",4.92020816326529,6.45100918367347,39.2752013617535,5.24592335345441e-95,2.590751707337e-90,206.238771207996,"HIST1H3G","Significant","Up"
"11735833_a_at",4.69938061224489,5.85684642857143,37.5702181282694,1.16298183631174e-91,2.87175104840457e-87,198.61656328582,"HIST1H3G","Significant","Up"
"11719434_a_at",3.2970469387755,5.56677857142857,37.1918565130924,6.66307111991658e-91,1.09687476776067e-86,196.888321914688,"HIST1H3G","Significant","Up"
"11739128_a_at",3.59238469387754,5.91144132653061,36.392507258881,2.78308818476476e-89,3.08431485887396e-85,193.191910075442,"TNFAIP8L1","Significant","Up"
"11728234_a_at",4.22432959183673,5.29405969387755,36.347702746339,3.43685191181158e-89,3.08431485887396e-85,192.982881649348,"OTOP2","Significant","Up"
"11721993_at",3.30373469387754,6.54274387755102,36.3293567563046,3.74719336517308e-89,3.08431485887396e-85,192.897234448998,"C17orf78","Significant","Up"
"11732838_at",-6.54731632653059,7.0207887755102,-35.7409900857089,6.09977738213421e-88,3.79689493482107e-84,190.132841759979,"CTAGE6","Significant","Down"
"11715637_a_at",-1.6113387755102,11.2845846938776,-35.7392520844769,6.15056078211813e-88,3.79689493482107e-84,190.124624917243,"F8A1 /// F8A2 /// F8A3","Significant","Down"
"11733581_a_at",-4.65099999999998,5.13979387755102,-35.6563047879858,9.1392744480959e-88,5.01502453215182e-84,189.732118887744,"LOC285501","Significant","Down"
"11759464_at",-5.15750918367345,5.3260862244898,-34.7822189566767,6.18583475757524e-86,3.05493635337611e-82,185.553672667672,"SAMD7","Significant","Down"
"11758028_s_at",5.66009387755101,6.3678387755102,34.3941207727806,4.11940670597421e-85,1.84946381437493e-81,183.67333030267,"ARRDC5","Significant","Up"
"11750604_a_at",2.37282346938775,5.76385969387755,33.9562729009412,3.56333349960172e-84,1.46648990176109e-80,181.533110438476,"CGB /// CGB1 /// CGB2 /// CGB5 /// CGB7 /// CGB8","Significant","Up"
"11721557_a_at",-4.28025102040815,5.92021632653061,-33.8904502814339,4.93700749182563e-84,1.87553116916385e-80,181.209624307341,"C1orf173","Significant","Down"
"11724538_a_at",-5.5093163265306,6.11063163265306,-33.7618060981831,9.34945202855105e-84,3.29808598487159e-80,180.57607797329,"FAM86C","Significant","Down"
"11722783_at",4.67700306122448,4.56346887755102,33.3994803297606,5.70028331182424e-83,1.87676127758501e-79,178.782240574948,"FAM86C","Significant","Up"
"11737294_a_at",-6.92871530612243,6.60191173469388,-32.8562002553514,8.79788336009297e-82,2.7155766726347e-78,176.066100916898,"HIST1H2BI","Significant","Down"
"11726764_at",-6.61665816326528,7.11546071428571,-32.2374125016121,2.06421511886651e-80,5.99666634472598e-77,172.933290340671,"HIST1H4E","Significant","Down"
"11730386_at",-2.81518061224489,4.43891173469388,-32.2181999689404,2.27819798174519e-80,6.25061586258156e-77,172.835345698475,"HIST1H2AJ","Significant","Down"
"11747996_a_at",3.1236775510204,4.32928571428571,32.1438648013788,3.33806406582015e-80,8.67650694497862e-77,172.456002817878,"HIST1H2BF","Significant","Up"
"11742188_a_at",-4.47068265306122,5.11695051020408,-31.741528166871,2.66685803583823e-79,6.58527254789533e-76,170.392142734951,"C2CD4B","Significant","Down"
"11746898_x_at",-5.58700306122447,5.86588520408163,-31.1897952384755,4.74524693081293e-78,1.11594649964346e-74,167.532343399363,"HIST1H2BE","Significant","Down"
"11746142_a_at",-3.11100408163265,4.65075714285714,-31.0453075109922,1.01417976781919e-77,2.27664918243266e-74,166.777711128708,"HIST1H3A","Significant","Down"
"11758134_s_at",2.57283979591836,5.36708418367347,30.8445288570334,2.92532076510115e-77,6.28129962196892e-74,165.725117448452,"RAB3D","Significant","Up"
"11715104_s_at",-3.9855163265306,4.90185612244898,-30.8147754614151,3.42387373972374e-77,7.04547618791653e-74,165.568740031522,"PDZD9","Significant","Down"
"11719811_a_at",3.38060102040815,5.91714540816327,30.6718285622074,7.30259645772496e-77,1.44258411464482e-73,164.816021192374,"CACNG8","Significant","Up"
"11730091_at",-4.16730306122448,5.42174336734694,-30.3455632672741,4.15033944349638e-76,7.88341014448125e-73,163.089150743343,"MORC2","Significant","Down"
"11717822_a_at",-4.11315408163264,5.6746943877551,-30.2580549600069,6.6279133403339e-76,1.21231899342863e-72,162.623880837007,"HIST1H2BN","Significant","Down"
"11726787_s_at",-3.56974489795918,4.83350918367347,-30.2217426063273,8.05095065253643e-76,1.4200151747363e-72,162.4305509156,"GPR32","Significant","Down"
"11734322_at",-3.35451326530611,3.83975867346939,-30.1167505861694,1.41400676234516e-75,2.40800475741993e-72,161.870698706213,"PCDHGB5","Significant","Down"
"11746322_x_at",-5.13313979591835,6.25306785714286,-29.8798481296836,5.06292028238834e-75,8.33457936886768e-72,160.602713237893,"ZNF600","Significant","Down"
"11722660_a_at",2.95625510204081,7.01280408163265,29.8611808968662,5.5997744119126e-75,8.92098255182954e-72,160.502519446123,"KRTAP6-2","Significant","Up"
"11723246_s_at",-4.85520714285713,5.37544132653061,-29.7224207011588,1.18597279315985e-74,1.83032663634351e-71,159.756456391734,"KRTAP20-1","Significant","Down"
"11728998_x_at",-2.62454591836734,6.2456443877551,-29.6458937358295,1.79567779235305e-74,2.68731343797417e-71,159.344026422225,"HIST1H2BH","Significant","Down"
"11749164_a_at",1.94959897959183,5.64280867346939,29.6312890400379,1.94376285236535e-74,2.82337271255634e-71,159.265238035666,"PCDHGA1","Significant","Up"
"11742938_at",3.63131836734693,7.57384897959184,29.4137238492496,6.34745545479994e-74,8.95644100259285e-71,158.088539146899,"GLIPR1L2","Significant","Up"
"11729582_s_at",-6.97710510204079,7.29217397959184,-29.3429425852317,9.33954045768369e-74,1.28122929178657e-70,157.70450717114,"SNAPC5","Significant","Down"
"11729583_x_at",-7.71733673469386,8.44157755102041,-29.0574853375151,4.46016159344193e-73,5.95323082307359e-70,156.149659435363,"OR8U9","Significant","Down"
"11719591_s_at",-1.55962040816326,9.4641306122449,-29.0444645758998,4.79096397101891e-73,6.22648807033526e-70,156.078504606135,"SSX7 /// SSX9","Significant","Down"
"11727780_a_at",-4.15310306122448,5.72356785714286,-28.8984357589121,1.07028046169237e-72,1.35530438156768e-69,155.279104116229,"CGB /// CGB1 /// CGB2 /// CGB5 /// CGB7 /// CGB8","Significant","Down"
"11739036_a_at",-3.44766326530611,4.52317653061225,-28.857633514744,1.34038447261832e-72,1.65490568911821e-69,155.055283699443,"IFNA10","Significant","Down"
"11741049_s_at",-3.2844857142857,5.25543673469388,-28.7993808095107,1.84887752054287e-72,2.18271101352531e-69,154.735391544865,"PCDHA13","Significant","Down"
"11723411_s_at",-3.97352448979591,4.52932653061224,-28.798658300423,1.85627227489699e-72,2.18271101352531e-69,154.731421351293,"PCDHGB3","Significant","Down"
"11735331_a_at",-2.72177040816326,5.12001683673469,-28.756300179456,2.34595548574176e-72,2.69435715392657e-69,154.498553110616,"GSC2","Significant","Down"
"11730199_a_at",1.87324183673469,9.10897908163265,28.6915415563078,3.35697420198215e-72,3.76789836225205e-69,154.142117260187,"OR9Q2","Significant","Up"
"11722995_at",-5.80925204081631,6.79452908163265,-28.672414477378,3.73212136330771e-72,4.09587879218477e-69,154.036743639969,"KRTAP19-7","Significant","Down"
"11715813_at",-2.44103673469387,8.01906020408163,-28.5948368446496,5.7379001329326e-72,6.1602594775002e-69,153.608904655751,"KRTAP20-2","Significant","Down"
"11734320_a_at",-3.84681020408162,5.07450204081633,-28.3784059611908,1.91223595159032e-71,2.00931244053701e-68,152.411438264253,"SSX7","Significant","Down"
"11726839_s_at",-1.59251836734693,9.43968979591837,-28.2380671496459,4.1863150435618e-71,4.30719489044465e-68,151.631931386478,"C3orf15","Significant","Down"
"11727867_a_at",-4.01968877551019,6.74239846938776,-28.1961553002702,5.29246552829584e-71,5.33415719551874e-68,151.398668245165,"HIST2H2AB","Significant","Down"
"11723826_a_at",-4.41055714285713,6.67702959183673,-28.1774423725558,5.87694057345099e-71,5.80477174320901e-68,151.29445102722,"HIST2H2AB","Significant","Down"
"11730384_at",-3.34480408163264,4.51440918367347,-28.1608498884205,6.4491848712947e-71,6.24508713830902e-68,151.2020073702,"PCDHA4","Significant","Down"
"11732404_a_at",1.79423061224489,6.32795408163265,28.0132727423749,1.47588199686562e-70,1.40169054417703e-67,150.378313316935,"PRB3","Significant","Up"
"11728986_x_at",2.66600306122448,5.93628826530612,27.9523110812259,2.07925376156503e-70,1.93747219374812e-67,150.037281246999,"PCDHGB1","Significant","Up"
"11722458_a_at",1.79711224489796,5.98669591836735,27.8981353718596,2.82070165292281e-70,2.57968836724529e-67,149.733828942951,"PCDHGB1","Significant","Up"
"11728937_at",-2.15911326530612,3.75694744897959,-27.8582494722909,3.53158291066904e-70,3.1711046113873e-67,149.510187471935,"ZNF675","Significant","Down"
"11739061_at",2.92214183673469,5.40983928571429,27.786153467974,5.30421779584896e-70,4.67775178688923e-67,149.105447235376,"TUBB4Q /// TUBB8 /// TUBBP5","Significant","Up"
"11728985_s_at",2.3120193877551,6.85790459183673,27.6570752459528,1.10046654586903e-69,9.53467383057685e-67,148.379217445095,"KRTAP6-1","Significant","Up"
"11747783_x_at",1.84046530612244,8.8731306122449,27.637609587293,1.22871629654954e-69,1.0462307417482e-66,148.269520234905,"KRTAP19-2","Significant","Up"
"11755789_a_at",1.27097142857143,6.81912346938775,27.6008616323149,1.5131634461679e-69,1.26659474495674e-66,148.062302659289,"KRTAP19-4","Significant","Up"
"11732768_at",-2.36498163265305,4.33406224489796,-27.5833648757752,1.67097226703537e-69,1.36478371676777e-66,147.963581897071,"SFT2D1","Significant","Down"
"11730385_at",-3.88796938775509,5.03362142857143,-27.5818136059742,1.68573698462791e-69,1.36478371676777e-66,147.954827450097,"LOC650293","Significant","Down"
"11746928_a_at",1.98911836734693,7.07962040816327,27.5642944917996,1.86185526026821e-69,1.48305780457429e-66,147.855939344936,"KRTAP21-2","Significant","Up"
"11751489_a_at",-2.76988061224489,5.93741683673469,-27.5483828844209,2.03777481734474e-69,1.58253254527738e-66,147.766092121657,"HIST1H2AK","Significant","Down"
"11725223_at",2.40057346938775,6.35336020408163,27.5472579711206,2.05082579876387e-69,1.58253254527738e-66,147.759738950984,"DEFB128","Significant","Up"
"11745543_x_at",2.56261122448979,4.37320459183673,27.4486053507931,3.59202183561142e-69,2.72916292882317e-66,147.201970808028,"IGLL3","Significant","Up"
"11731957_at",-6.04771632653059,9.32321020408163,-27.4367912884956,3.84169520918597e-69,2.87463575152816e-66,147.135095096923,"DNAJC12","Significant","Down"
"11743172_a_at",3.05062551020408,6.09815663265306,27.4115258338159,4.43568048128534e-69,3.26955994401131e-66,146.99201732148,"DNAJC12","Significant","Up"
"11743468_at",1.63434591836734,9.11865765306123,27.3202300198444,7.46203971345286e-69,5.41941607777328e-66,146.474352301615,"ARHGAP22","Significant","Up"
"11745192_a_at",-2.58178367346938,4.77232346938776,-27.315644438475,7.65976650890694e-69,5.48239462041852e-66,146.448323933813,"POU3F3","Significant","Down"
"11741959_x_at",-2.37487857142857,5.72457704081633,-27.2856341913031,9.0902357620046e-69,6.41329119060513e-66,146.277917448654,"PLEKHG2","Significant","Down"
"11728984_a_at",2.89888673469387,5.77538928571429,27.1716429115438,1.74365216888155e-68,1.212845155104e-65,145.629625313682,"HNRNPCL1","Significant","Up"
"11727143_x_at",-2.59546428571428,4.53157295918367,-27.0735164109054,3.0586367726143e-68,2.09796993961569e-65,145.070266837055,"DEPDC5","Significant","Down"
"11726808_at",2.55224183673469,5.14610357142857,27.0537356485669,3.42602353336629e-68,2.31777531806613e-65,144.957363929277,"DEPDC5","Significant","Up"
"11757044_x_at",2.31825306122448,6.86021836734694,26.9963873450511,4.76134627245408e-68,3.17761955420834e-65,144.629761014893,"KRTAP10-12","Significant","Up"
"11753601_x_at",-3.88018775510203,7.63826428571429,-26.9918042447551,4.88833117342073e-68,3.21886831107408e-65,144.603562324324,"KRTAP10-1","Significant","Down"
"11716831_at",1.46546428571428,8.12039132653061,26.9706352517253,5.52043652566752e-68,3.587266819166e-65,144.482518602558,"KRTAP10-3","Significant","Up"
"200057_PM_s_at",0.849660204081631,11.2669198979592,26.9553730109967,6.02649486597089e-68,3.86525292793297e-65,144.395214889007,"TDRKH","Not Significant","NS"
"11721128_a_at",1.3392581632653,8.42819132653061,26.9366706273926,6.71056374791015e-68,4.24881924684988e-65,144.288193140749,"TDRKH","Significant","Up"
"11720663_a_at",-1.7141275510204,10.114262755102,-26.9215733964305,7.31923808917372e-68,4.57554294015105e-65,144.201769562924,"OR2A14","Significant","Down"
"11724965_at",-2.02047142857142,5.2798693877551,-26.9108585429432,7.78457129489444e-68,4.80561047462071e-65,144.14041551094,"KRTAP19-1","Significant","Down"
"200037_PM_s_at",1.07822551020408,10.3563913265306,26.8650481370934,1.01333177701549e-67,6.17832137527002e-65,143.877940208058,"CGB1 /// CGB2","Significant","Up"
"11743655_a_at",-3.97041938775509,6.73289030612245,-26.8117619497189,1.37751975622726e-67,8.29636471719993e-65,143.572302166152,"KRTAP10-9","Significant","Down"
"11746389_a_at",2.47293265306122,4.00894387755102,26.8064610528978,1.42027156386891e-67,8.45078692207593e-65,143.541877979987,"FAM86C","Significant","Up"
"11741668_x_at",1.37592346938775,8.15453724489796,26.7966201191379,1.50320178687938e-67,8.83775279128869e-65,143.485387212393,"ZNF391","Significant","Up"
"11717833_a_at",1.43028979591836,6.30016734693878,26.7239034718589,2.28713360752994e-67,1.3288515334291e-64,143.067590448097,"RPL38","Significant","Up"
"11754909_a_at",-4.23876224489795,6.93808928571429,-26.6977778426567,2.65979525397059e-67,1.52740288851851e-64,142.917323052528,"PRB1","Significant","Down"
"11716399_at",-2.68251428571428,6.70552142857143,-26.6923173022714,2.74507925376387e-67,1.55825843708485e-64,142.885904747344,"PRB1","Significant","Down"
"11743742_at",2.45471530612244,5.42801071428571,26.6820359388063,2.91317660804374e-67,1.634887954146e-64,142.826738753834,"PRB1","Significant","Up"
"11718930_a_at",2.18142244897959,5.35450816326531,26.6523454978444,3.4589009450617e-67,1.90617279074441e-64,142.655805410056,"H3F3C","Significant","Up"
"11758083_s_at",-3.82351224489795,7.55680102040816,-26.651604068831,3.47376890549947e-67,1.90617279074441e-64,142.651535454584,"H3F3B /// H3F3C","Significant","Down"
"11722562_s_at",1.48292040816326,7.3635612244898,26.6479949893184,3.54706341074736e-67,1.92500300662823e-64,142.630749462764,"C7orf46","Significant","Up"
"11740896_s_at",-2.2831275510204,5.94499030612245,-26.6418312061583,3.6758471500133e-67,1.97321073207127e-64,142.595246240139,"C7orf46","Significant","Down"
"11733522_a_at",-2.8173775510204,5.35658469387755,-26.5613871445006,5.85714673326554e-67,3.1103338555812e-64,142.131454401447,"C7orf46","Significant","Down"
"11741499_x_at",-3.76361020408163,6.91021326530612,-26.5351012521991,6.82141302758077e-67,3.58385429553302e-64,141.979730080649,"UNCX","Significant","Down"
"11719562_at",1.96661734693877,9.04700153061225,26.4881433445915,8.9579256804325e-67,4.65680123846147e-64,141.708469587078,"ZNF835","Significant","Up"
"11740895_a_at",-2.27313061224489,6.49988775510204,-26.4786173873448,9.46732244727786e-67,4.8703456914715e-64,141.653407501219,"IMPACT","Significant","Down"
"11735913_s_at",-3.33789489795917,5.2190637755102,-26.4755202194566,9.63912769179143e-67,4.90760783697744e-64,141.635502750967,"TMEM211","Significant","Down"
"11717444_at",1.69426122448979,5.41119387755102,26.4579425083386,1.06751921117079e-66,5.37964324111026e-64,141.533863075165,"PYGO1","Significant","Up"
"11726807_a_at",2.39060714285713,5.54259030612245,26.4478376968126,1.1320655415885e-66,5.64729180170603e-64,141.475416428301,"DUX4 /// LOC441056 /// LOC653543 /// LOC653544 /// LOC653545 /// LOC653548 /// LOC728410","Significant","Up"
"11728726_a_at",-5.17202244897958,5.97894795918367,-26.4002798515277,1.49259011007494e-66,7.37130551761608e-64,141.200167771561,"DUX4 /// LOC441056 /// LOC653543 /// LOC653544 /// LOC653545 /// LOC653548 /// LOC728410","Significant","Down"
"11722685_s_at",-3.07836734693877,5.99845204081633,-26.3801379315736,1.67814486114247e-66,8.20562991211702e-64,141.083507567073,"DUX4 /// LOC441056 /// LOC653543 /// LOC653544 /// LOC653545 /// LOC653548 /// LOC728410","Significant","Down"
"11748513_x_at",-3.81174183673468,6.7907056122449,-26.3781800066581,1.69737320368673e-66,8.21828167032089e-64,141.072164723091,"DUX4 /// LOC441056 /// LOC653543 /// LOC653544 /// LOC653545 /// LOC653548 /// LOC728410","Significant","Down"
"11758145_s_at",-2.54940306122448,4.57960663265306,-26.3659158111926,1.82295113672684e-66,8.74060823673705e-64,141.001103619026,"TCEAL1","Significant","Down"
"11756344_a_at",1.29639795918367,8.47804897959184,26.3601724190616,1.88492556815087e-66,8.95085904891336e-64,140.967818805149,"ATP13A5","Significant","Up"
"11744989_x_at",1.29983163265306,8.11573214285714,26.2607328285635,3.36478517173153e-66,1.58260267134413e-63,140.390876902543,"HIST2H2AC","Significant","Up"
"11723599_a_at",-2.55111122448979,7.28648520408163,-26.2482796541616,3.61835843479514e-66,1.68581367604521e-63,140.318536798391,"PSG4","Significant","Down"
"11750517_x_at",-3.82738265306122,6.4859137755102,-26.0964898971551,8.78606115022382e-66,4.05521884079396e-63,139.435225653079,"PSG4","Significant","Down"
"11747167_x_at",-3.83471224489795,6.38189081632653,-26.083184741209,9.49785584141523e-66,4.34315841281604e-63,139.357660519054,"WDFY4","Significant","Down"
"11725665_at",1.45387448979591,7.11290867346939,26.0750503580265,9.96124879095233e-66,4.51326819073369e-63,139.310228473474,"CLCN6","Significant","Up"
"11736304_a_at",-2.09096224489795,6.26321173469388,-26.0732744321822,1.00653987184925e-65,4.51899801010427e-63,139.299871840721,"SCAND1","Significant","Down"
"11732545_s_at",1.35214897959183,8.13893469387755,26.039762365101,1.22490760451406e-65,5.4498456717596e-63,139.104365611137,"PNMAL1","Significant","Up"
"11723678_at",1.91378571428571,6.82453265306122,26.0249676380877,1.33588242712735e-65,5.89052585233135e-63,139.018009511138,"ZNF680","Significant","Up"
"11734418_s_at",-3.47656530612244,5.56258163265306,-25.9683331019014,1.86234341775953e-65,8.13926478136922e-63,138.68718132393,"SCAND1","Significant","Down"
"11755394_a_at",-1.98680408163265,4.99594387755102,-25.9653481361514,1.89526341005364e-65,8.21048059376397e-63,138.669733548011,"DUX1 /// DUX3 /// DUX5","Significant","Down"
"11724221_at",-2.74200714285714,4.30324846938776,-25.9484113162799,2.09342347815156e-65,8.98043807566602e-63,138.570712847877,"MARK4","Significant","Down"
"11758861_at",-3.67454081632652,5.02462244897959,-25.9471195371635,2.10936463122597e-65,8.98043807566602e-63,138.56315900695,"GRK7","Significant","Down"
"11727079_at",1.9068193877551,6.46518010204082,25.9115794386383,2.5991360086134e-65,1.09336681101783e-62,138.355251177891,"UGT2B28","Significant","Up"
"11757773_x_at",1.72096020408163,9.57905153061225,25.9107116123384,2.61242626858024e-65,1.09336681101783e-62,138.35017244197,"MOGAT2","Significant","Up"
"11716881_a_at",-1.79522142857142,5.58191275510204,-25.9019175253095,2.75101103573635e-65,1.14169269757038e-62,138.298701886565,"FAM127A","Significant","Down"
"11726063_a_at",-4.29763673469386,5.21167346938775,-25.8954711727688,2.85726369455368e-65,1.17590687349357e-62,138.260966087353,"HIST1H2AI","Significant","Down"
"11749299_a_at",1.77276836734693,7.20621989795918,25.8252608297456,4.31865089539989e-65,1.76265200925801e-62,137.849627294045,"C2orf44","Significant","Up"
"11718414_s_at",1.43232142857143,7.57971989795918,25.7556458308695,6.50861510699852e-65,2.63470873503466e-62,137.441161292906,"NSUN5","Significant","Up"
"11736852_at",-2.72923367346938,4.94170357142857,-25.7254197389841,7.77888164339372e-65,3.12331584423286e-62,137.263618889403,"MAGI3","Significant","Down"
"11742998_at",-1.86625612244898,9.47154540816327,-25.7193309583017,8.06344207148382e-65,3.21146088824435e-62,137.2278405466,"RNASE8","Significant","Down"
"11719560_at",1.96388367346938,8.97672551020408,25.6796884551125,1.01896400815162e-64,4.02580452052607e-62,136.994782160335,"ACOXL","Significant","Up"
"11718816_a_at",-2.32277244897959,6.28450969387755,-25.6592557179716,1.14968570273254e-64,4.4899224730836e-62,136.874580369842,"VPS54","Significant","Down"
"11725335_s_at",1.67846224489795,7.8187443877551,25.6585310403027,1.15461902984979e-64,4.4899224730836e-62,136.870316262704,"PCDHA6","Significant","Up"
"11724044_a_at",-2.64805510204081,4.86307755102041,-25.6119314365202,1.52081678133185e-64,5.86773887209802e-62,136.595977927211,"PCDHA7","Significant","Down"
"11756822_s_at",-3.61680408163264,5.14097346938776,-25.5956177495505,1.67489646629771e-64,6.41212689027742e-62,136.4998720073,"OSTBETA","Significant","Down"
"11728259_a_at",1.25154285714285,5.09926836734694,25.5908655736303,1.7226592423879e-64,6.54424994958221e-62,136.471870019944,"GRIP2","Significant","Up"
"11723222_s_at",-2.85064591836734,5.12863112244898,-25.5721186600569,1.92479415873108e-64,7.25632704756437e-62,136.361376757391,"PARD6A","Significant","Down"
"11727281_a_at",-2.30983367346938,5.36901173469388,-25.5691397406873,1.95903738223064e-64,7.32947122415473e-62,136.343815073752,"RPL36","Significant","Down"
"11723245_a_at",-2.9715163265306,4.76142448979592,-25.5401682771901,2.32567977089999e-64,8.63579106508774e-62,136.172960383318,"RPL36","Significant","Down"
"11722661_at",2.38294897959183,5.00313367346939,25.5170939460866,2.66639104680984e-64,9.82704389833962e-62,136.036807027943,"C21orf56","Significant","Up"
"11731633_at",-2.22073163265306,4.49510663265306,-25.5127125531167,2.73653580646785e-64,9.96509298286599e-62,136.010946376436,"UCN","Significant","Down"
"11732699_a_at",-4.31675612244897,5.65954948979592,-25.5118873441006,2.74995294242394e-64,9.96509298286599e-62,136.006075405983,"UQCRHL","Significant","Down"
"11715228_s_at",-4.09822551020407,6.78796989795918,-25.5110043893822,2.76438208936265e-64,9.96509298286599e-62,136.000863483753,"PCDHGA12","Significant","Down"
"11729574_at",1.69615612244897,8.80954234693878,25.5091948013249,2.79419204854275e-64,9.99956293545884e-62,135.990181503516,"RPL9","Significant","Up"
"11730103_at",-1.86438469387755,3.38341275510204,-25.5030250693014,2.89827447651126e-64,1.02974232587759e-61,135.953758517138,"RPL9","Significant","Down"
"11729389_a_at",-1.29218163265306,7.27447959183673,-25.4542949890019,3.86956570018244e-64,1.36501694049436e-61,135.665911134677,"IFITM3","Significant","Down"
"11745929_a_at",2.25190204081632,7.5351887755102,25.3660301358025,6.53658197739633e-64,2.28947260663614e-61,135.143766139046,"ZNF184","Significant","Up"
"11721032_s_at",-2.92500408163265,5.69810204081633,-25.3445841690831,7.42569141724941e-64,2.5825718051569e-61,135.016749817028,"LCE1D","Significant","Down"
"11746732_a_at",-1.63975408163265,4.47502193877551,-25.301605647261,9.58977247203218e-64,3.31189163149497e-61,134.76202864887,"LCE3D","Significant","Down"
"11736305_x_at",-2.35239591836734,6.54724693877551,-25.2820352836367,1.07750242566648e-63,3.695384360692e-61,134.645963120968,"LCE1F","Significant","Down"
"11743656_a_at",-3.83249387755101,7.63873673469388,-25.2774861279602,1.10709679496156e-63,3.77069533213596e-61,134.618976578076,"LCE1A","Significant","Down"
"11744366_a_at",1.68173673469387,9.89246428571429,25.2395388424559,1.3879955770886e-63,4.69503764178751e-61,134.393762968213,"IGLL1","Significant","Up"
"11732700_x_at",-4.27421122448978,5.65196275510204,-25.2375731257052,1.40435605781366e-63,4.7180631476997e-61,134.382091640845,"BAI1","Significant","Down"
"11746018_a_at",-1.78562142857142,6.43530051020408,-25.2322537587868,1.44960568366019e-63,4.83717745224608e-61,134.350505752623,"DEPDC5","Significant","Down"
"11734453_at",-3.86681122448978,5.28456173469388,-25.2296162147749,1.47258190082465e-63,4.8808677687333e-61,134.334842937809,"CRISP2","Significant","Down"
"11758256_s_at",2.92400102040816,4.59131581632653,25.2150033770547,1.60666140634947e-63,5.28977201426498e-61,134.248049925269,"MAGEA12","Significant","Up"
"11723585_a_at",-2.79608571428571,8.91426326530612,-25.1833300639057,1.94085514895655e-63,6.34775313817008e-61,134.059833041562,"C5orf36","Significant","Down"
"11727553_a_at",-4.59618163265305,7.43587755102041,-25.1457448830932,2.42913199644254e-63,7.89244163002048e-61,133.836319872686,"CHST7","Significant","Down"
"11719019_at",1.41472959183673,7.48532091836735,25.1366031226696,2.56547186385187e-63,8.28094074955479e-61,133.781928121729,"RSRC1","Significant","Up"
"11754789_a_at",0.979630612244895,8.74002755102041,25.1202335971703,2.82908190058027e-63,9.07253498325046e-61,133.68450599815,"KRTAP10-10 /// KRTAP10-6","Not Significant","NS"
"11715983_a_at",1.08275918367347,9.42456326530612,25.1101854692873,3.00418899922622e-63,9.5120331278901e-61,133.624688378174,"DEFB134","Significant","Up"
"11740587_a_at",1.17871632653061,7.9428806122449,25.1101597180956,3.00465145577867e-63,9.5120331278901e-61,133.624535061989,"TAS2R30","Significant","Up"
"11726884_a_at",-3.29798163265305,5.70143265306122,-25.0561956407055,4.14917674679111e-63,1.3051671517008e-60,133.303061221899,"XAGE3","Significant","Down"
"11736544_at",2.64774591836734,5.45409948979592,25.0433980545149,4.47946415322477e-63,1.40014440931113e-60,133.226769365611,"XAGE3","Significant","Up"
"11729750_a_at",-2.46841020408163,6.35080918367347,-25.0393809399687,4.58848583486553e-63,1.42520101535012e-60,133.20281734291,"PTMS","Significant","Down"
"11720196_at",-1.44547959183673,6.75524081632653,-25.0003402849009,5.79708449605221e-63,1.78934259326272e-60,132.969930792072,"IFNA10 /// IFNA14 /// IFNA21 /// IFNA4 /// IFNA5 /// IFNA6 /// IFNA7","Significant","Down"
"11725986_s_at",1.4553887755102,6.3580943877551,24.9919545684083,6.09580080912444e-63,1.8698585016113e-60,132.919882765295,"C1orf66","Significant","Up"
"11759415_at",-4.37141428571427,6.7252387755102,-24.9304268052609,8.81565287941138e-63,2.68746810557167e-60,132.552396342071,"LOC440563 /// LOC649330","Significant","Down"
"11730973_a_at",-6.21160714285712,7.71378418367347,-24.9074564561511,1.01186901703334e-62,3.06577688804959e-60,132.415078062448,"MTNR1A","Significant","Down"
"11728575_a_at",-3.84811938775509,4.80261785714286,-24.8865347158708,1.14730718265825e-62,3.45493369041222e-60,132.289948090914,"SPEF2","Significant","Down"
"11738611_s_at",-2.47694183673469,6.20561683673469,-24.8587120886558,1.35602247948339e-62,4.05869855586464e-60,132.123458614694,"UTS2R","Significant","Down"
"11726013_a_at",2.26099897959183,3.64954642857143,24.8440530127613,1.48090891479619e-62,4.40579323289908e-60,132.035699677657,"FIG4","Significant","Up"
"11724966_s_at",-2.14237040816326,4.786425,-24.8156130973632,1.75708383223648e-62,5.19612827178626e-60,131.865361518359,"PKD1L3","Significant","Down"
"11721125_at",-1.86470408163265,9.35032142857143,-24.7956329759619,1.98149187779026e-62,5.82487844503272e-60,131.745630927497,"EPPK1","Significant","Down"
"11736509_x_at",-2.04353571428571,3.82371173469388,-24.7759735407668,2.23036318101286e-62,6.51767550636101e-60,131.627772451782,"GP1BB /// SEPT5","Significant","Down"
"11736163_a_at",-3.43746938775509,6.15984897959184,-24.7745359296358,2.24974791606675e-62,6.53565003428662e-60,131.61915203104,"ALG1L","Significant","Down"
"11722546_a_at",-2.3382469387755,7.58480306122449,-24.7322651318956,2.90195504572672e-62,8.38104981802689e-60,131.365563905816,"KLF7","Significant","Down"
"11752857_x_at",-2.45670204081632,4.15133673469388,-24.7191189951269,3.14118528420259e-62,9.01921956079239e-60,131.28665211689,"DUX4 /// LOC441056 /// LOC653543 /// LOC653544 /// LOC653545 /// LOC653548 /// LOC728410","Significant","Down"
