"","logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol","significant","direction"
"11722385_a_at",0.0792459183673464,5.78348010204082,1.85774685196389,0.0647004298698693,0.0915583664160396,-6.04436017178418,"SLC47A1","Not Significant","NS"
"11746742_a_at",-0.219332653061224,6.33697551020408,-1.85755488993935,0.0647278443015567,0.0915925438426353,-6.04471176299193,"TMEM150B","Not Significant","NS"
"11740571_s_at",-0.0417418367346937,2.13198214285714,-1.85755176356214,0.0647282908648567,0.0915925438426353,-6.0447174888693,"CLEC7A","Not Significant","NS"
"11759846_x_at",0.0713765306122444,2.76382908163265,1.85726209404495,0.064769677593932,0.0916484813951615,-6.04524797058177,"CLEC7A","Not Significant","NS"
"11727697_a_at",-0.0405112244897959,2.15102602040816,-1.85711056449237,0.0647913362450912,0.0916765014984407,-6.04552544002426,"RAB2A","Not Significant","NS"
"11731532_at",0.119668367346938,6.29753724489796,1.8570423578559,0.0648010872242093,0.0916876717182787,-6.04565032771887,"BRCC3","Not Significant","NS"
"11746209_a_at",0.0667591836734693,2.87345,1.85668103650642,0.0648527629164693,0.0917581592721029,-6.04631184035784,"MAMLD1","Not Significant","NS"
"11724808_at",0.075104081632653,3.15224693877551,1.85651837931954,0.0648760371081649,0.0917884595377251,-6.04660959505128,"CNTROB","Not Significant","NS"
"11764219_at",-0.0519163265306121,2.31017755102041,-1.85650439181725,0.0648780388674964,0.0917886620881249,-6.04663519891939,"C7orf44","Not Significant","NS"
"11752661_a_at",0.0764397959183671,3.24005255102041,1.85638339535286,0.064895356882935,0.0918105332594427,-6.04685667296961,"S100Z","Not Significant","NS"
"11755406_x_at",0.104889795918367,4.42262755102041,1.85636933762452,0.0648973691905219,0.0918107500886051,-6.04688240357841,"POLR2E","Not Significant","NS"
"11757189_s_at",0.0452663265306122,2.16972704081633,1.85632799330149,0.0649032877656288,0.0918164929703049,-6.04695807720435,"POLR2E","Not Significant","NS"
"11756351_x_at",-0.0787336734693875,11.279481122449,-1.85629588839751,0.0649078839971664,0.0918203649017232,-6.0470168385508,"WHSC1","Not Significant","NS"
"11729464_at",-0.0749704081632652,3.00661479591837,-1.85597887982281,0.0649532823959128,0.0918819547549425,-6.04759700410744,"MLST8","Not Significant","NS"
"11745051_a_at",-0.0421530612244897,2.14698673469388,-1.85572534950642,0.0649896091465683,0.0919307088280131,-6.04806092761825,"CSNK1D","Not Significant","NS"
"11762693_at",-0.0395071428571429,2.10768826530612,-1.85555007411861,0.0650147331170514,0.091963613728553,-6.04838162024543,"CSNK1D","Not Significant","NS"
"11729781_at",-0.191498979591836,3.07203520408163,-1.85544567770956,0.0650297011320428,0.0919821515138784,-6.04857261524601,"SSBP1","Not Significant","NS"
"11724953_a_at",-0.0981602040816331,7.06337908163265,-1.85542627891339,0.0650324827834095,0.0919834515620765,-6.04860810452946,"COL4A6","Not Significant","NS"
"11724223_at",0.0926010204081622,7.56351887755102,1.85540001915834,0.0650362484057311,0.0919861432472846,-6.04865614507851,"MXD1","Not Significant","NS"
"11735128_a_at",-0.116779591836734,6.28835408163265,-1.85525291932831,0.0650573457239001,0.0920133477266891,-6.04892524270827,"STX3","Not Significant","NS"
"11739418_at",0.0542785714285713,2.3519443877551,1.85505879513973,0.0650851960652974,0.0920501014599725,-6.0492803329956,"HIST2H2BF","Not Significant","NS"
"11723990_at",0.0511448979591834,2.3659,1.85433242738509,0.0651894935152445,0.0921949692652882,-6.05060868034199,"ATG4D","Not Significant","NS"
"11718840_s_at",0.0848040816326529,7.71434489795918,1.85395003096605,0.0652444567100864,0.0922700592504318,-6.05130778718339,"SURF4","Not Significant","NS"
"11754193_a_at",0.0911755102040816,3.46978163265306,1.85376423729313,0.0652711753919257,0.092305202104852,-6.0516474096397,"SURF4","Not Significant","NS"
"11760989_at",0.0533867346938773,2.54735663265306,1.85352704926202,0.0653052982241639,0.0923508134495478,-6.05208093090566,"LCORL","Not Significant","NS"
"11752201_s_at",-0.0634428571428566,2.65310204081633,-1.85344811808821,0.0653166568697198,0.0923642313643335,-6.05222518576062,"H1FOO","Not Significant","NS"
"11730975_at",0.09189387755102,7.05577755102041,1.85312608224838,0.0653630166752997,0.092427142205479,-6.05281367797677,"LMAN2L","Not Significant","NS"
"11729033_at",0.0895010204081635,8.80159336734694,1.85308759838588,0.0653685585839345,0.0924321420072571,-6.05288399725094,"MYO15A","Not Significant","NS"
"11746745_a_at",0.0454489795918367,2.59901530612245,1.85307553608098,0.0653702957090566,0.0924321420072571,-6.05290603769333,"DNM1L","Not Significant","NS"
"11740257_a_at",-0.127787755102041,5.93632857142857,-1.85278974872164,0.0654114639402258,0.0924874201422446,-6.05342819254521,"SLC35F2","Not Significant","NS"
"11736026_at",-0.146176530612244,4.57030357142857,-1.85277814965057,0.0654131352640113,0.0924874201422446,-6.05344938327228,"ATP6AP2","Not Significant","NS"
"11749949_a_at",-0.0516448979591835,2.62071326530612,-1.8526817340171,0.0654270292792768,0.0925044164897328,-6.05362552322814,"EIF4H","Not Significant","NS"
"11717739_at",-0.0960244897959176,9.12237040816327,-1.8526560826366,0.0654307261951372,0.0925069950437447,-6.05367238377495,"SULT1C2","Not Significant","NS"
"11744282_at",0.1818,8.90163469387755,1.85258103788038,0.0654415427558461,0.0925196390284042,-6.05380947370773,"CRYL1","Not Significant","NS"
"11740366_a_at",0.162815306122448,3.87200765306122,1.85232424231784,0.0654785671725962,0.0925693332489576,-6.05427854101773,"MYBBP1A","Not Significant","NS"
"11734800_at",0.0499112244897956,2.36998316326531,1.85227000712938,0.0654863889499468,0.0925777410168338,-6.05437759993993,"ITGAX","Not Significant","NS"
"11737924_at",0.0513030612244896,2.312675,1.8521030033996,0.0655104790370553,0.0926091460633753,-6.05468260958288,"REEP5","Not Significant","NS"
"11750155_a_at",0.0845673469387753,3.08238775510204,1.85193983656685,0.0655340227664535,0.0926397769734392,-6.05498058600601,"REEP5","Not Significant","NS"
"11738696_at",0.0508887755102038,2.39468316326531,1.85186153865082,0.0655453230541704,0.0926530991313867,-6.05512356521254,"C11orf82","Not Significant","NS"
"11751918_a_at",0.0343734693877551,1.87857040816327,1.8516911554118,0.0655699190808035,0.0926852144863633,-6.05543468052796,"CHMP7","Not Significant","NS"
"11749462_x_at",0.0946724489795917,3.85397704081633,1.8516226792476,0.0655798062595608,0.0926965371629031,-6.05555970841655,"MECR","Not Significant","NS"
"11738906_a_at",0.252175510204081,6.47151836734694,1.85147060479717,0.0656017685089136,0.0927249267195537,-6.0558373591028,"ASH1L","Not Significant","NS"
"11758288_s_at",-0.0959693877551026,6.81571224489796,-1.85130313755045,0.065625960819657,0.0927564666449038,-6.05614308778595,"ANXA5","Not Significant","NS"
"11742332_at",0.0582193877551018,2.56902908163265,1.85111756156269,0.0656527777741864,0.0927917143596809,-6.05648184464542,"ANXA5","Not Significant","NS"
"11725097_s_at",-0.117705102040816,5.79383112244898,-1.85105344748118,0.0656620447973584,0.0928021562076051,-6.05659887309676,"ANXA5","Not Significant","NS"
"11727524_at",-0.0718704081632649,3.21323826530612,-1.85095637507778,0.065676077670832,0.0928193329856831,-6.05677605344683,"MTG1","Not Significant","NS"
"11736420_at",0.0590326530612243,2.81508163265306,1.85075456727124,0.0657052591606699,0.0928579175535511,-6.05714437223626,"NFS1","Not Significant","NS"
"11722915_at",-0.139384693877551,6.34701581632653,-1.85052429471407,0.0657385698196089,0.0929023352919134,-6.05756459457942,"TPM3","Not Significant","NS"
"11756980_s_at",0.0468275510204081,2.21210153061224,1.85032283947952,0.0657677233381627,0.0929408757483762,-6.05793218703577,"TMEM54","Not Significant","NS"
"11737394_a_at",-0.0436877551020407,2.36052857142857,-1.85024900529426,0.0657784109132038,0.0929533192560228,-6.05806690152921,"HPX","Not Significant","NS"
"11729128_at",0.0558051020408163,2.75443724489796,1.85007311311441,0.0658038773005016,0.0929866458085373,-6.05838780547955,"LILRB5","Not Significant","NS"
"11729041_a_at",-0.0433275510204079,2.23831071428571,-1.85005740562121,0.0658061518936661,0.0929871993539511,-6.05841646135597,"LILRB5","Not Significant","NS"
"11717103_s_at",0.097970408163264,9.87184744897959,1.84996967602105,0.0658188571680939,0.0930024914910441,-6.05857650603529,"CAST","Not Significant","NS"
"11734309_at",-0.0422561224489796,2.19311071428571,-1.84965474763187,0.0658644828644694,0.0930642982016676,-6.05915096797176,"CAST","Not Significant","NS"
"11761112_at",-0.04974693877551,2.55787448979592,-1.84945456062222,0.0658934988934999,0.0931026331460643,-6.05951608067038,"ASGR2","Not Significant","NS"
"11735366_s_at",0.0462897959183673,2.27053469387755,1.8493369463281,0.0659105514020984,0.0931240628123829,-6.05973057465531,"SLC37A2","Not Significant","NS"
"11717771_a_at",0.115095918367346,6.20576734693878,1.84929642591993,0.0659164271711485,0.0931297002510181,-6.05980446894706,"PRIM2","Not Significant","NS"
